id,container_number,vessel_id,container_type,status,destination,weight,priority,terminal,arrival_date
35,OPXU8491822,111,standard,in_yard,Nhava Sheva,21834.69,normal,Terminal B,2026-03-29
36,OPXU5006492,112,reefer,in_yard,Tanjung Pelepas,3134.83,normal,Terminal C,2026-01-08
37,JHDU3551903,50,standard,in_yard,Algeciras,27099.19,normal,Terminal B,2026-04-10
38,BFPU8387112,112,standard,delayed,Rotterdam,20783.54,normal,Terminal C,2026-01-07
39,VNKU5446344,10,standard,dispatched,Shanghai,24145.9,high,Terminal A,2026-07-01
40,JHDU9186400,41,open_top,in_yard,Shanghai,8104.03,normal,Terminal A,2026-08-15
41,JHDU2516313,30,standard,in_yard,Los Angeles,13535.64,normal,Terminal A,2026-06-03
42,QRSU1941524,6,standard,loaded,Hamburg,8349.13,normal,Terminal B,2026-03-29
43,OPXU2324869,22,reefer,loaded,Busan,14939.35,normal,Terminal A,2026-01-24
44,JHDU5261032,60,standard,dispatched,Felixstowe,25431.45,normal,Terminal A,2026-04-28
45,VNKU6797629,10,flat_rack,in_yard,Tanjung Pelepas,19948.15,normal,Terminal A,2026-07-01
46,VNKU9106886,26,standard,loaded,Colombo,16945.11,urgent,Terminal A,2026-03-30
47,BFPU7640518,3,standard,loaded,Singapore,25676.04,normal,Terminal C,2026-01-25
48,BFPU4860745,100,reefer,loaded,Santos,18143.17,normal,Terminal C,2026-07-28
49,ZTCU1661401,81,standard,loaded,Durban,11486.39,low,Terminal C,2026-07-18
50,JHDU7970985,42,standard,in_yard,Nhava Sheva,24787.98,normal,Terminal A,2026-07-27
51,OPXU5311242,107,open_top,delayed,Ningbo,21410.54,normal,Terminal C,2026-06-28
52,ZTCU3361510,60,dangerous_goods,in_yard,Piraeus,27149.01,high,Terminal A,2026-04-29
53,BFPU7619862,12,standard,loaded,Felixstowe,11583.23,normal,Terminal B,2026-06-13
54,VNKU7232293,75,standard,in_yard,Rotterdam,18108.22,urgent,Terminal A,2026-02-10
55,WLMU4713925,118,reefer,dispatched,Felixstowe,25644.08,normal,Terminal A,2026-03-04
56,OPXU1760793,15,flat_rack,in_yard,Valencia,5019.13,normal,Terminal B,2026-06-26
57,VNKU7224540,50,reefer,dispatched,Nhava Sheva,12897.3,normal,Terminal B,2026-04-10
58,VNKU2661307,114,dangerous_goods,dispatched,Antwerp,2850.62,normal,Terminal B,2026-04-28
59,OPXU7084862,57,standard,dispatched,Nhava Sheva,25444.1,normal,Terminal B,2026-06-02
60,QRSU4184459,51,flat_rack,delayed,Felixstowe,4383.51,normal,Terminal B,2026-06-28
61,BFPU6595355,7,standard,in_yard,Durban,7335.34,high,Terminal B,2026-04-08
62,OPXU4909069,76,standard,in_yard,Vancouver,2073.72,high,Terminal B,2026-01-07
63,WLMU5205279,17,dangerous_goods,in_yard,Rotterdam,5426.88,normal,Terminal C,2026-04-13
64,QRSU1264762,76,standard,in_yard,Tanjung Pelepas,15678.22,normal,Terminal B,2026-01-08
65,BFPU7074006,58,standard,in_yard,Algeciras,7760.29,normal,Terminal B,2026-05-26
66,JHDU1522621,59,standard,loaded,Piraeus,13083.11,low,Terminal C,2026-03-04
67,ZTCU6404139,10,reefer,in_yard,Antwerp,18232.25,normal,Terminal A,2026-07-01
68,WLMU9901266,49,standard,loaded,Tanjung Pelepas,4578.64,normal,Terminal A,2026-02-24
69,VNKU4833486,56,standard,dispatched,Piraeus,12815.73,low,Terminal C,2026-04-15
70,JHDU5276341,41,standard,in_yard,Valencia,3745.47,high,Terminal A,2026-08-14
71,ZTCU7251976,56,dangerous_goods,loaded,Durban,26872.24,normal,Terminal C,2026-04-14
72,QRSU8095702,53,open_top,dispatched,Ningbo,17610.66,normal,Terminal C,2026-01-16
73,JHDU9089795,20,standard,in_yard,Nhava Sheva,11556.59,high,Terminal C,2026-05-24
74,VNKU1440466,104,reefer,dispatched,Antwerp,2752.78,normal,Terminal B,2026-01-22
75,QRSU6889195,118,standard,delayed,Durban,19090.96,low,Terminal A,2026-03-03
76,JHDU9900022,12,standard,loaded,Long Beach,6092.64,normal,Terminal B,2026-06-13
77,WLMU2425342,100,open_top,in_yard,Vancouver,3293.82,low,Terminal C,2026-07-29
78,VNKU9148051,85,reefer,loaded,Santos,21628.52,low,Terminal A,2026-04-10
79,QRSU9164342,15,standard,in_yard,Busan,12276.85,normal,Terminal B,2026-06-26
80,QRSU4543918,27,dangerous_goods,dispatched,Ningbo,10531.18,low,Terminal A,2026-07-05
81,OPXU7378822,23,standard,in_yard,Nhava Sheva,23667.21,high,Terminal B,2026-07-22
82,BFPU1709714,51,standard,loaded,Shanghai,24414.86,normal,Terminal B,2026-06-29
83,JHDU8007741,91,standard,loaded,Long Beach,6468.7,urgent,Terminal C,2026-02-25
84,JHDU7070880,107,standard,dispatched,Busan,13327.59,normal,Terminal C,2026-06-28
85,BFPU6205543,51,reefer,in_yard,Jebel Ali,3985.86,normal,Terminal B,2026-06-28
86,BFPU6861544,116,standard,damaged,Hamburg,8142.99,low,Terminal C,2026-02-27
87,WLMU3564729,23,dangerous_goods,dispatched,Jebel Ali,26733.6,normal,Terminal B,2026-07-23
88,WLMU8531380,97,reefer,delayed,Vancouver,10403.41,urgent,Terminal A,2026-01-03
89,VNKU2145653,20,standard,dispatched,Antwerp,17376.91,normal,Terminal C,2026-05-24
90,VNKU8581856,40,standard,loaded,Ningbo,3995.01,high,Terminal A,2026-06-21
91,WLMU9507186,79,standard,loaded,Singapore,13693.08,high,Terminal A,2026-08-24
92,WLMU8979730,42,standard,damaged,Felixstowe,4691.05,high,Terminal A,2026-07-27
93,ZTCU9464927,92,reefer,in_yard,Felixstowe,27765.64,normal,Terminal C,2026-01-22
94,QRSU5746166,47,standard,dispatched,Vancouver,3361.5,normal,Terminal C,2026-08-10
95,QRSU2585546,9,reefer,loaded,Antwerp,20817.08,normal,Terminal B,2026-03-17
96,ZTCU3372774,43,open_top,in_yard,Piraeus,5352.74,normal,Terminal C,2026-04-01
97,WLMU7319630,40,reefer,in_yard,Hamburg,19423.03,high,Terminal A,2026-06-21
98,JHDU8103580,83,standard,in_yard,Ningbo,6686.84,normal,Terminal B,2026-03-09
99,OPXU3307963,25,standard,in_yard,Los Angeles,15199.93,normal,Terminal C,2026-06-24
100,QRSU3198638,85,reefer,in_yard,Jebel Ali,23614.97,high,Terminal A,2026-04-09
101,VNKU1733037,93,standard,dispatched,Busan,27209.3,normal,Terminal A,2026-01-25
102,WLMU5012581,30,standard,dispatched,Valencia,25503.33,low,Terminal A,2026-06-04
103,BFPU5727345,60,dangerous_goods,loaded,Tanjung Pelepas,27122.97,high,Terminal A,2026-04-28
104,QRSU1875431,112,reefer,delayed,Nhava Sheva,26291.63,normal,Terminal C,2026-01-07
105,ZTCU3689594,37,standard,delayed,Hamburg,23607.21,low,Terminal C,2026-02-27
106,VNKU6865064,105,flat_rack,loaded,Piraeus,15052.18,normal,Terminal B,2026-06-30
107,OPXU1472908,48,standard,in_yard,Long Beach,22575.9,low,Terminal A,2026-01-05
108,BFPU8926478,118,reefer,in_yard,Valencia,13663.64,low,Terminal A,2026-03-03
109,QRSU4618086,3,dangerous_goods,loaded,Vancouver,15722.06,low,Terminal C,2026-01-25
110,QRSU3044276,31,standard,loaded,Vancouver,13884.95,low,Terminal A,2026-08-14
111,WLMU1275739,77,reefer,loaded,Hamburg,9573.07,low,Terminal C,2026-04-17
112,WLMU7988844,31,standard,dispatched,Algeciras,27341.02,low,Terminal A,2026-08-13
113,BFPU8887557,50,standard,loaded,Colombo,8594.91,low,Terminal B,2026-04-10
114,OPXU2739191,45,dangerous_goods,dispatched,Long Beach,5468.65,normal,Terminal A,2026-08-10
115,JHDU3937508,105,dangerous_goods,dispatched,Valencia,18425.13,high,Terminal B,2026-06-30
116,BFPU8678589,92,standard,in_yard,Santos,25030.55,normal,Terminal C,2026-01-23
117,VNKU8942330,66,standard,dispatched,Santos,9438.88,high,Terminal A,2026-08-16
118,JHDU6568772,111,standard,dispatched,Tanjung Pelepas,25126.65,normal,Terminal B,2026-03-29
119,OPXU9324908,44,reefer,loaded,Algeciras,8934.74,low,Terminal C,2026-06-18
120,VNKU4027557,11,standard,in_yard,Shanghai,10525.92,normal,Terminal B,2026-01-22
121,JHDU8149041,78,standard,loaded,Felixstowe,3101.23,high,Terminal A,2026-08-13
122,VNKU5606274,79,reefer,dispatched,Singapore,3951.07,normal,Terminal A,2026-08-25
123,BFPU3684131,66,flat_rack,in_yard,Vancouver,19630.31,normal,Terminal A,2026-08-16
124,OPXU7145971,9,standard,delayed,Singapore,17732.47,normal,Terminal B,2026-03-18
125,VNKU2289923,48,reefer,loaded,Piraeus,10174.02,normal,Terminal A,2026-01-04
126,JHDU4121368,4,standard,loaded,Nhava Sheva,5061.79,high,Terminal B,2026-02-21
127,WLMU5791184,28,reefer,damaged,Santos,5188.57,high,Terminal C,2026-01-29
128,JHDU8467726,23,flat_rack,dispatched,Long Beach,19363.83,normal,Terminal B,2026-07-23
129,QRSU3642499,115,reefer,delayed,Jebel Ali,22636.11,normal,Terminal A,2026-08-01
130,BFPU3329967,26,standard,loaded,Colombo,16404.56,normal,Terminal A,2026-03-29
131,ZTCU2103070,79,standard,damaged,Valencia,15668.09,high,Terminal A,2026-08-24
132,QRSU2244282,17,standard,dispatched,Colombo,5336.7,high,Terminal C,2026-04-13
133,OPXU8258130,99,standard,delayed,Los Angeles,15470.66,normal,Terminal C,2026-07-25
134,JHDU4782763,42,standard,delayed,Ningbo,23994.28,normal,Terminal A,2026-07-27
135,JHDU6080553,17,reefer,in_yard,Jebel Ali,17387.02,normal,Terminal C,2026-04-13
136,WLMU6664316,85,dangerous_goods,loaded,Rotterdam,4111.79,urgent,Terminal A,2026-04-10
137,OPXU7989166,84,reefer,in_yard,Nhava Sheva,9531.46,urgent,Terminal B,2026-06-03
138,BFPU7813102,32,standard,in_yard,Singapore,6110.09,normal,Terminal A,2026-01-22
139,QRSU3410360,27,standard,dispatched,Colombo,27359.73,low,Terminal A,2026-07-05
140,WLMU2781470,66,standard,loaded,Antwerp,13689.5,low,Terminal A,2026-08-16
141,VNKU8015136,38,standard,delayed,Jebel Ali,23150.42,urgent,Terminal C,2026-06-01
142,BFPU3673322,25,standard,loaded,Valencia,24855.97,normal,Terminal C,2026-06-24
143,WLMU8671057,51,flat_rack,in_yard,Colombo,3265.11,normal,Terminal B,2026-06-29
144,WLMU1137194,37,dangerous_goods,loaded,Antwerp,20915.21,high,Terminal C,2026-02-28
145,VNKU1858283,6,reefer,in_yard,Nhava Sheva,9503.64,normal,Terminal B,2026-03-30
146,WLMU5692934,98,dangerous_goods,dispatched,Vancouver,5089.09,urgent,Terminal C,2026-06-29
147,BFPU6688907,48,reefer,loaded,Hamburg,7175.5,normal,Terminal A,2026-01-04
148,ZTCU3299088,6,reefer,dispatched,Algeciras,13881.7,normal,Terminal B,2026-03-29
149,WLMU6344047,42,standard,damaged,Ningbo,17436.84,normal,Terminal A,2026-07-27
150,WLMU6029651,91,standard,in_yard,Long Beach,19518.97,urgent,Terminal C,2026-02-25
151,JHDU1447065,102,reefer,in_yard,Durban,17018.49,normal,Terminal A,2026-03-13
152,WLMU7378535,22,standard,dispatched,Singapore,16886.83,normal,Terminal A,2026-01-24
153,VNKU6262886,3,standard,loaded,Santos,12669.81,high,Terminal C,2026-01-25
154,BFPU2044906,112,reefer,loaded,Nhava Sheva,10451.29,normal,Terminal C,2026-01-08
155,OPXU8711874,41,open_top,in_yard,Colombo,19572.58,high,Terminal A,2026-08-15
156,VNKU4225657,79,flat_rack,in_yard,Ningbo,7846.54,urgent,Terminal A,2026-08-25
157,QRSU4477544,99,reefer,loaded,Valencia,11068.88,urgent,Terminal C,2026-07-26
158,ZTCU7370211,37,open_top,loaded,Colombo,26819.83,high,Terminal C,2026-02-28
159,QRSU2325893,6,standard,loaded,Antwerp,21430.8,normal,Terminal B,2026-03-30
160,WLMU5557052,120,standard,dispatched,Durban,8221.33,low,Terminal A,2026-07-29
161,OPXU1880654,82,standard,in_yard,Valencia,4614.17,high,Terminal A,2026-08-04
162,OPXU7826774,71,reefer,delayed,Valencia,14413.66,low,Terminal C,2026-01-04
163,QRSU1992583,42,open_top,in_yard,Durban,8037.73,normal,Terminal A,2026-07-26
164,OPXU8010946,117,open_top,in_yard,Singapore,27926.47,normal,Terminal A,2026-01-09
165,JHDU5856449,24,open_top,in_yard,Durban,17672.36,high,Terminal C,2026-05-01
166,VNKU9796605,37,standard,delayed,Algeciras,14168.54,low,Terminal C,2026-02-27
167,OPXU8699307,43,reefer,dispatched,Rotterdam,21152.07,high,Terminal C,2026-04-01
168,WLMU7802999,23,dangerous_goods,loaded,Shanghai,12421.66,low,Terminal B,2026-07-22
169,QRSU5161539,62,standard,loaded,Felixstowe,21597.67,urgent,Terminal A,2026-02-04
170,JHDU1191859,75,standard,loaded,Busan,3615.23,low,Terminal A,2026-02-10
171,VNKU9430894,21,open_top,delayed,Ningbo,19947.55,normal,Terminal A,2026-05-31
172,WLMU4705235,48,standard,in_yard,Hamburg,13829.45,urgent,Terminal A,2026-01-05
173,JHDU8899184,54,dangerous_goods,dispatched,Santos,21808.35,normal,Terminal C,2026-08-24
174,VNKU9861274,68,reefer,in_yard,Durban,4917.43,high,Terminal A,2026-05-10
175,WLMU3514105,74,standard,delayed,Felixstowe,5022.24,normal,Terminal B,2026-07-20
176,WLMU8473959,12,dangerous_goods,loaded,Algeciras,12801.04,normal,Terminal B,2026-06-13
177,BFPU6170227,87,reefer,loaded,Rotterdam,21390.92,normal,Terminal A,2026-03-26
178,QRSU2069713,55,standard,in_yard,Shanghai,27639.57,normal,Terminal C,2026-02-18
179,OPXU3272119,53,dangerous_goods,damaged,Tanjung Pelepas,11735.98,high,Terminal C,2026-01-17
180,VNKU7302286,112,standard,damaged,Nhava Sheva,5457.73,high,Terminal C,2026-01-07
181,WLMU7594429,23,standard,dispatched,Busan,23705.36,high,Terminal B,2026-07-23
182,JHDU8115687,60,standard,dispatched,Busan,13976.26,low,Terminal A,2026-04-28
183,JHDU2893218,120,standard,dispatched,Vancouver,21917.39,high,Terminal A,2026-07-29
184,OPXU2128954,31,standard,in_yard,Vancouver,19472.61,high,Terminal A,2026-08-13
185,ZTCU7748892,95,standard,loaded,Singapore,5643.52,urgent,Terminal C,2026-07-16
186,JHDU6350316,105,reefer,dispatched,Long Beach,8159.5,high,Terminal B,2026-06-30
187,QRSU5616316,53,standard,delayed,Jebel Ali,18275.82,normal,Terminal C,2026-01-17
188,QRSU7394713,7,dangerous_goods,in_yard,Tanjung Pelepas,12614.74,normal,Terminal B,2026-04-08
189,WLMU8944327,97,standard,in_yard,Hamburg,22950.18,high,Terminal A,2026-01-03
190,WLMU9891787,54,standard,in_yard,Santos,10586.84,low,Terminal C,2026-08-25
191,QRSU2551288,109,standard,dispatched,Singapore,8980.0,normal,Terminal C,2026-08-02
192,ZTCU4156856,112,dangerous_goods,loaded,Nhava Sheva,7642.43,normal,Terminal C,2026-01-08
193,ZTCU4553544,39,flat_rack,damaged,Los Angeles,21418.86,high,Terminal B,2026-02-28
194,WLMU4431161,90,standard,in_yard,Long Beach,22163.36,normal,Terminal B,2026-07-22
195,QRSU7033835,40,standard,loaded,Los Angeles,22873.23,normal,Terminal A,2026-06-22
196,OPXU7219396,118,standard,in_yard,Busan,21272.56,low,Terminal A,2026-03-04
197,OPXU4291551,38,standard,loaded,Busan,14981.84,normal,Terminal C,2026-06-01
198,BFPU9197701,33,flat_rack,dispatched,Valencia,13981.55,normal,Terminal B,2026-07-17
199,OPXU9192588,22,standard,delayed,Singapore,15622.55,high,Terminal A,2026-01-24
200,JHDU1813936,105,dangerous_goods,loaded,Busan,3767.17,low,Terminal B,2026-06-30
201,VNKU7261268,65,standard,dispatched,Vancouver,25731.54,normal,Terminal A,2026-06-19
202,WLMU7901115,1,standard,loaded,Antwerp,15929.19,normal,Terminal A,2026-01-08
203,OPXU2795437,104,open_top,loaded,Busan,6990.23,normal,Terminal B,2026-01-22
204,BFPU7658817,35,standard,damaged,Felixstowe,16690.06,urgent,Terminal B,2026-05-19
205,JHDU2352527,39,reefer,delayed,Singapore,4431.01,normal,Terminal B,2026-03-01
206,JHDU1158547,8,reefer,in_yard,Tanjung Pelepas,18767.59,normal,Terminal B,2026-07-06
207,WLMU1713900,115,standard,delayed,Durban,14363.01,low,Terminal A,2026-08-01
208,QRSU1552000,88,standard,delayed,Rotterdam,26998.2,normal,Terminal C,2026-03-22
209,ZTCU6021033,119,standard,in_yard,Piraeus,19602.91,normal,Terminal C,2026-03-08
210,JHDU3347981,97,dangerous_goods,dispatched,Shanghai,15020.61,urgent,Terminal A,2026-01-02
211,VNKU4894730,13,dangerous_goods,in_yard,Vancouver,26826.32,normal,Terminal A,2026-03-11
212,JHDU5585666,4,dangerous_goods,loaded,Busan,11251.09,urgent,Terminal B,2026-02-21
213,JHDU7376562,24,standard,dispatched,Busan,20540.82,low,Terminal C,2026-04-30
214,JHDU3588336,49,reefer,in_yard,Los Angeles,4379.53,urgent,Terminal A,2026-02-25
215,BFPU5525929,47,standard,in_yard,Tanjung Pelepas,13669.94,normal,Terminal C,2026-08-10
216,ZTCU2503554,14,standard,in_yard,Vancouver,22395.41,high,Terminal B,2026-03-04
217,VNKU7506196,38,dangerous_goods,dispatched,Nhava Sheva,25535.4,urgent,Terminal C,2026-05-31
218,VNKU3843767,88,standard,in_yard,Valencia,5794.31,low,Terminal C,2026-03-22
219,QRSU9124053,54,dangerous_goods,loaded,Busan,20743.39,normal,Terminal C,2026-08-24
220,ZTCU3273137,59,standard,delayed,Long Beach,23881.95,normal,Terminal C,2026-03-04
221,QRSU8224541,57,dangerous_goods,delayed,Vancouver,5539.24,normal,Terminal B,2026-06-02
222,QRSU3980258,62,flat_rack,damaged,Ningbo,21106.73,normal,Terminal A,2026-02-03
223,VNKU5702656,42,dangerous_goods,loaded,Los Angeles,26233.75,low,Terminal A,2026-07-26
224,BFPU1451577,88,flat_rack,loaded,Santos,13399.83,normal,Terminal C,2026-03-21
225,BFPU7864256,105,reefer,in_yard,Ningbo,8292.55,normal,Terminal B,2026-07-01
226,VNKU2240929,102,standard,loaded,Durban,12420.93,normal,Terminal A,2026-03-13
227,ZTCU7031903,70,reefer,dispatched,Vancouver,18592.69,low,Terminal B,2026-06-13
228,JHDU6956059,85,standard,dispatched,Durban,27573.81,normal,Terminal A,2026-04-10
229,QRSU8221845,97,standard,in_yard,Busan,15277.58,normal,Terminal A,2026-01-02
230,QRSU7562142,58,standard,dispatched,Algeciras,5919.37,urgent,Terminal B,2026-05-26
231,QRSU7978909,14,open_top,in_yard,Hamburg,11056.54,normal,Terminal B,2026-03-04
232,VNKU6843509,67,standard,loaded,Felixstowe,10291.65,normal,Terminal A,2026-06-04
233,BFPU6755892,3,reefer,dispatched,Jebel Ali,26177.98,normal,Terminal C,2026-01-24
234,OPXU6553084,71,reefer,damaged,Busan,22741.65,normal,Terminal C,2026-01-03
235,JHDU8250013,82,standard,dispatched,Santos,13688.95,normal,Terminal A,2026-08-04
236,OPXU4452490,91,standard,dispatched,Shanghai,17011.05,high,Terminal C,2026-02-24
237,QRSU4306357,47,standard,in_yard,Valencia,15720.59,normal,Terminal C,2026-08-10
238,VNKU2916496,79,standard,dispatched,Vancouver,6485.72,normal,Terminal A,2026-08-25
239,WLMU2421902,118,reefer,in_yard,Busan,9939.88,low,Terminal A,2026-03-03
240,VNKU8016887,66,reefer,loaded,Tanjung Pelepas,6829.6,normal,Terminal A,2026-08-16
241,OPXU9214830,72,standard,in_yard,Felixstowe,18104.66,high,Terminal C,2026-05-20
242,OPXU4273712,63,dangerous_goods,damaged,Algeciras,18979.81,normal,Terminal C,2026-02-11
243,JHDU8446596,54,standard,in_yard,Rotterdam,22692.9,normal,Terminal C,2026-08-24
244,OPXU5843084,36,standard,loaded,Valencia,16292.88,low,Terminal B,2026-04-06
245,BFPU7154919,35,standard,dispatched,Felixstowe,16205.19,urgent,Terminal B,2026-05-19
246,BFPU5152891,95,standard,damaged,Felixstowe,8833.2,high,Terminal C,2026-07-16
247,BFPU2969410,57,dangerous_goods,in_yard,Durban,19917.47,high,Terminal B,2026-06-03
248,WLMU3335975,22,dangerous_goods,dispatched,Singapore,16821.93,normal,Terminal A,2026-01-24
249,JHDU5909595,42,standard,in_yard,Algeciras,27622.7,normal,Terminal A,2026-07-26
250,BFPU7905438,18,open_top,damaged,Hamburg,20237.09,low,Terminal B,2026-03-22
251,QRSU5153279,92,dangerous_goods,dispatched,Valencia,5696.46,normal,Terminal C,2026-01-23
252,VNKU2266952,49,reefer,delayed,Shanghai,12474.12,normal,Terminal A,2026-02-25
253,VNKU6491002,59,reefer,delayed,Shanghai,21004.23,normal,Terminal C,2026-03-04
254,ZTCU9966154,109,standard,damaged,Santos,14862.59,normal,Terminal C,2026-08-03
255,WLMU3191007,44,reefer,loaded,Long Beach,25248.02,high,Terminal C,2026-06-17
256,JHDU8710502,13,standard,delayed,Jebel Ali,13473.43,low,Terminal A,2026-03-11
257,JHDU3213134,26,open_top,in_yard,Antwerp,4426.84,normal,Terminal A,2026-03-29
258,JHDU3777050,48,standard,dispatched,Busan,13160.0,low,Terminal A,2026-01-04
259,OPXU8999489,1,standard,loaded,Algeciras,19679.55,low,Terminal A,2026-01-08
260,ZTCU8085252,105,reefer,loaded,Busan,11959.82,normal,Terminal B,2026-06-30
261,QRSU7166661,14,open_top,in_yard,Hamburg,18680.98,normal,Terminal B,2026-03-04
262,WLMU1142182,68,reefer,in_yard,Colombo,20783.23,normal,Terminal A,2026-05-10
263,VNKU8421969,118,open_top,in_yard,Los Angeles,5640.34,low,Terminal A,2026-03-04
264,VNKU6276495,45,dangerous_goods,in_yard,Shanghai,8452.34,normal,Terminal A,2026-08-10
265,JHDU1450038,100,dangerous_goods,dispatched,Ningbo,7341.59,normal,Terminal C,2026-07-28
266,VNKU5958372,96,reefer,dispatched,Busan,14867.08,low,Terminal A,2026-04-10
267,WLMU2191383,82,standard,damaged,Colombo,26282.03,low,Terminal A,2026-08-05
268,WLMU3898604,47,dangerous_goods,damaged,Shanghai,2433.92,low,Terminal C,2026-08-10
269,ZTCU2014499,28,flat_rack,loaded,Ningbo,18342.84,normal,Terminal C,2026-01-29
270,JHDU7749095,55,standard,loaded,Vancouver,5969.69,low,Terminal C,2026-02-17
271,OPXU3606795,66,standard,loaded,Shanghai,10064.41,normal,Terminal A,2026-08-16
272,OPXU2446410,8,open_top,in_yard,Vancouver,17829.64,normal,Terminal B,2026-07-06
273,ZTCU3302031,16,reefer,in_yard,Colombo,15598.14,high,Terminal A,2026-07-19
274,QRSU3129542,22,reefer,delayed,Los Angeles,22057.19,low,Terminal A,2026-01-25
275,WLMU2071594,35,standard,damaged,Shanghai,14899.84,normal,Terminal B,2026-05-19
276,BFPU3799805,64,standard,in_yard,Los Angeles,25250.98,normal,Terminal C,2026-07-26
277,JHDU9536665,30,standard,delayed,Rotterdam,8358.34,normal,Terminal A,2026-06-04
278,OPXU4002466,118,flat_rack,delayed,Nhava Sheva,22881.0,normal,Terminal A,2026-03-04
279,QRSU5165165,29,standard,dispatched,Antwerp,23475.92,normal,Terminal C,2026-07-15
280,JHDU1883692,65,standard,dispatched,Singapore,26806.06,low,Terminal A,2026-06-20
281,QRSU6212643,111,standard,loaded,Rotterdam,11591.9,normal,Terminal B,2026-03-29
282,WLMU5069884,95,standard,loaded,Valencia,27942.47,high,Terminal C,2026-07-16
283,ZTCU7879264,20,standard,loaded,Rotterdam,26725.75,low,Terminal C,2026-05-25
284,JHDU6159172,109,standard,loaded,Busan,12915.21,urgent,Terminal C,2026-08-02
285,QRSU2560728,92,standard,in_yard,Algeciras,12739.48,high,Terminal C,2026-01-23
286,ZTCU2603516,96,standard,dispatched,Piraeus,3945.59,normal,Terminal A,2026-04-10
287,OPXU4972370,85,standard,delayed,Piraeus,20218.87,normal,Terminal A,2026-04-10
288,QRSU4919346,58,standard,in_yard,Durban,4833.29,low,Terminal B,2026-05-26
289,QRSU7820148,60,standard,loaded,Santos,13749.84,normal,Terminal A,2026-04-28
290,OPXU6103880,12,dangerous_goods,dispatched,Singapore,7590.54,high,Terminal B,2026-06-12
291,JHDU5164420,12,flat_rack,loaded,Singapore,19606.77,normal,Terminal B,2026-06-12
292,VNKU8586676,4,reefer,loaded,Los Angeles,14013.12,high,Terminal B,2026-02-20
