id,vessel_name,voyage_number,arrival_date,departure_date,status,terminal
48,MV Southern Discovery,V2026-0048,2026-01-04,2026-01-05,delayed,Terminal A
49,MV Blue Express,V2026-0049,2026-02-24,2026-02-28,delayed,Terminal A
50,MV Grand Star,V2026-0050,2026-04-10,2026-04-13,delayed,Terminal B
51,MV Silver Trader,V2026-0051,2026-06-28,2026-07-03,departed,Terminal B
52,MV Atlantic Pioneer,V2026-0052,2026-03-17,2026-03-19,delayed,Terminal C
53,MV Crimson Legacy,V2026-0053,2026-01-16,2026-01-19,scheduled,Terminal C
54,MV Blue Legacy,V2026-0054,2026-08-24,2026-08-29,arrived,Terminal C
55,MV Pacific Discovery,V2026-0055,2026-02-17,2026-02-18,departed,Terminal C
56,MV Coral Pioneer,V2026-0056,2026-04-14,2026-04-15,delayed,Terminal C
57,MV Golden Odyssey,V2026-0057,2026-06-02,2026-06-03,departed,Terminal B
58,MV Western Odyssey,V2026-0058,2026-05-25,2026-05-30,arrived,Terminal B
59,MV Crimson Mariner,V2026-0059,2026-03-03,2026-03-06,arrived,Terminal C
60,MV Western Navigator,V2026-0060,2026-04-28,2026-05-01,delayed,Terminal A
61,MV Northern Express,V2026-0061,2026-06-09,2026-06-14,delayed,Terminal A
62,MV Southern Navigator,V2026-0062,2026-02-03,2026-02-06,departed,Terminal A
63,MV Royal Navigator,V2026-0063,2026-02-10,2026-02-14,departed,Terminal C
64,MV Silver Odyssey,V2026-0064,2026-07-26,2026-07-31,scheduled,Terminal C
65,MV Silver Frontier,V2026-0065,2026-06-19,2026-06-20,delayed,Terminal A
66,MV Silver Horizon,V2026-0066,2026-08-16,2026-08-17,departed,Terminal A
67,MV Silver Navigator,V2026-0067,2026-06-04,2026-06-06,departed,Terminal A
68,MV Coral Navigator,V2026-0068,2026-05-10,2026-05-14,arrived,Terminal A
69,MV Pacific Endeavor,V2026-0069,2026-04-19,2026-04-22,scheduled,Terminal B
70,MV Emerald Voyager,V2026-0070,2026-06-13,2026-06-16,arrived,Terminal B
71,MV Grand Legacy,V2026-0071,2026-01-03,2026-01-04,scheduled,Terminal C
72,MV Arctic Voyager,V2026-0072,2026-05-20,2026-05-21,departed,Terminal C
73,MV Grand Voyager,V2026-0073,2026-01-11,2026-01-14,arrived,Terminal A
74,MV Pacific Mariner,V2026-0074,2026-07-19,2026-07-24,departed,Terminal B
75,MV Eastern Pathfinder,V2026-0075,2026-02-09,2026-02-11,departed,Terminal A
76,MV Arctic Trader,V2026-0076,2026-01-07,2026-01-09,departed,Terminal B
77,MV Emerald Frontier,V2026-0077,2026-04-16,2026-04-18,arrived,Terminal C
78,MV Pacific Trader,V2026-0078,2026-08-12,2026-08-13,departed,Terminal A
79,MV Golden Discovery,V2026-0079,2026-08-24,2026-08-28,arrived,Terminal A
80,MV Golden Star,V2026-0080,2026-06-18,2026-06-20,arrived,Terminal B
81,MV Coral Horizon,V2026-0081,2026-07-17,2026-07-20,arrived,Terminal C
82,MV Grand Endeavor,V2026-0082,2026-08-04,2026-08-09,arrived,Terminal A
83,MV Pacific Frontier,V2026-0083,2026-03-08,2026-03-10,departed,Terminal B
84,MV Northern Horizon,V2026-0084,2026-06-02,2026-06-06,arrived,Terminal B
85,MV Southern Horizon,V2026-0085,2026-04-09,2026-04-14,arrived,Terminal A
86,MV Arctic Enterprise,V2026-0086,2026-05-18,2026-05-20,arrived,Terminal A
87,MV Western Frontier,V2026-0087,2026-03-26,2026-03-31,arrived,Terminal A
88,MV Silver Legacy,V2026-0088,2026-03-21,2026-03-25,arrived,Terminal C
89,MV Atlantic Odyssey,V2026-0089,2026-05-26,2026-05-29,arrived,Terminal A
90,MV Golden Trader,V2026-0090,2026-07-21,2026-07-26,departed,Terminal B
91,MV Blue Endeavor,V2026-0091,2026-02-24,2026-03-01,arrived,Terminal C
92,MV Atlantic Endeavor,V2026-0092,2026-01-22,2026-01-25,arrived,Terminal C
93,MV Eastern Mariner,V2026-0093,2026-01-24,2026-01-26,departed,Terminal A
94,MV Emerald Pioneer,V2026-0094,2026-02-07,2026-02-08,scheduled,Terminal B
95,MV Eastern Discovery,V2026-0095,2026-07-16,2026-07-17,arrived,Terminal C
96,MV Crimson Pathfinder,V2026-0096,2026-04-09,2026-04-13,arrived,Terminal A
97,MV Western Pathfinder,V2026-0097,2026-01-02,2026-01-03,departed,Terminal A
98,MV Atlantic Enterprise,V2026-0098,2026-06-28,2026-07-03,arrived,Terminal C
99,MV Blue Voyager,V2026-0099,2026-07-25,2026-07-29,departed,Terminal C
100,MV Blue Odyssey,V2026-0100,2026-07-28,2026-08-02,arrived,Terminal C
101,MV Blue Frontier,V2026-0101,2026-02-10,2026-02-14,arrived,Terminal A
102,MV Coral Endeavor,V2026-0102,2026-03-12,2026-03-17,arrived,Terminal A
103,MV Pacific Pathfinder,V2026-0103,2026-03-15,2026-03-17,arrived,Terminal B
104,MV Arctic Legacy,V2026-0104,2026-01-21,2026-01-23,arrived,Terminal B
105,MV Crimson Voyager,V2026-0105,2026-06-30,2026-07-02,scheduled,Terminal B
106,MV Royal Legacy,V2026-0106,2026-04-30,2026-05-04,scheduled,Terminal B
107,MV Emerald Odyssey,V2026-0107,2026-06-28,2026-06-29,departed,Terminal C
108,MV Grand Express,V2026-0108,2026-01-02,2026-01-05,arrived,Terminal B
109,MV Coral Frontier,V2026-0109,2026-08-02,2026-08-06,arrived,Terminal C
110,MV Southern Enterprise,V2026-0110,2026-06-04,2026-06-06,arrived,Terminal B
111,MV Northern Trader,V2026-0111,2026-03-28,2026-04-01,departed,Terminal B
112,MV Eastern Legacy,V2026-0112,2026-01-07,2026-01-11,departed,Terminal C
113,MV Atlantic Discovery,V2026-0113,2026-04-29,2026-05-01,scheduled,Terminal B
114,MV Royal Pioneer,V2026-0114,2026-04-27,2026-04-30,arrived,Terminal B
115,MV Silver Enterprise,V2026-0115,2026-08-01,2026-08-05,arrived,Terminal A
116,MV Northern Mariner,V2026-0116,2026-02-27,2026-02-28,departed,Terminal C
117,MV Northern Enterprise,V2026-0117,2026-01-08,2026-01-10,arrived,Terminal A
118,MV Eastern Voyager,V2026-0118,2026-03-03,2026-03-05,arrived,Terminal A
119,MV Blue Pathfinder,V2026-0119,2026-03-07,2026-03-10,arrived,Terminal C
120,MV Pacific Enterprise,V2026-0120,2026-07-29,2026-07-31,delayed,Terminal A
